workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A1N3ARFGIX5CL3,English,all advances,seafoam,pink,lightblue,Exactly one player hit none of his shots,none-none-half,none-half-none,none,yes,none,24,1,7976,NA
A1N3ARFGIX5CL3,English,all advances,pink,darkorange,brown,Exactly one player hit some of his shots,none-none-all,all-none-none,A,yes,A,25,7,5530,NA
A1N3ARFGIX5CL3,English,all advances,grey,darkorange,wheat,Player A made shots,none-none-all,none-none-all,C,yes,C,26,1,6603,NA
A1N3ARFGIX5CL3,English,all advances,tan,pink,lightblue,Player B will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,27,7,6215,NA
A1N3ARFGIX5CL3,English,all advances,midnight,seafoam,tan,At least one player will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,20,7,7660,NA
A1N3ARFGIX5CL3,English,all advances,tan,lightblue,purple,Player C will be disappointed,none-half-all,none-all-half,B,yes,B,21,7,3832,NA
A1N3ARFGIX5CL3,English,all advances,tan,wheat,brown,No player hit none of his shots,half-all-all,half-all-all,B-C,yes,B-C,22,7,16525,NA
A1N3ARFGIX5CL3,English,all advances,seafoam,midnight,royalblue,No player hit all of his shots,none-half-half,half-none-half,none,yes,none,23,7,3034,NA
A1N3ARFGIX5CL3,English,all advances,lightorange,wheat,lavender,All of the players will advance,none-all-all,all-all-none,A-B,yes,A-B,28,1,5159,NA
A1N3ARFGIX5CL3,English,all advances,wheat,grey,lightblue,All the players will advance,half-all-all,all-half-all,A-C,yes,A-C,1,1,10555,NA
A1N3ARFGIX5CL3,English,all advances,purple,royalblue,lightblue,One player will advance,none-half-half,none-half-half,none,yes,none,0,1,7693,NA
A1N3ARFGIX5CL3,English,all advances,royalblue,lavender,tan,Every player hit none of his shots,none-none-all,none-all-none,B,yes,B,3,1,9176,NA
A1N3ARFGIX5CL3,English,all advances,lightblue,lavender,yellow,Player A will be pleased,half-half-all,half-half-all,C,yes,C,2,1,9363,NA
A1N3ARFGIX5CL3,English,all advances,purple,yellow,darkorange,Player B made shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,5,7,7575,NA
A1N3ARFGIX5CL3,English,all advances,brown,purple,grey,Player A will be disappointed,none-half-half,half-none-half,none,yes,none,4,7,6512,NA
A1N3ARFGIX5CL3,English,all advances,royalblue,lightorange,grey,Player A will advance,none-none-all,all-none-none,A,yes,A,7,7,4218,NA
A1N3ARFGIX5CL3,English,all advances,grey,midnight,darkorange,None of the players will advance,half-half-half,half-half-half,none,yes,none,6,7,4640,NA
A1N3ARFGIX5CL3,English,all advances,lightorange,purple,midnight,Player C will be pleased,none-none-half,half-none-none,none,yes,none,9,1,5817,NA
A1N3ARFGIX5CL3,English,all advances,royalblue,grey,lavender,No player hit some of his shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,8,1,10397,NA
A1N3ARFGIX5CL3,English,all advances,yellow,purple,royalblue,Player C will advance,none-none-half,none-half-none,none,yes,none,11,1,3990,NA
A1N3ARFGIX5CL3,English,all advances,wheat,seafoam,brown,Player B will advance,none-none-half,half-none-none,none,yes,none,10,1,5380,NA
A1N3ARFGIX5CL3,English,all advances,midnight,brown,grey,Player B will be disappointed,half-all-all,all-half-all,A-C,yes,A-C,13,7,6509,NA
A1N3ARFGIX5CL3,English,all advances,seafoam,brown,wheat,Every player hit some of his shots,none-half-all,all-half-none,A,yes,A,12,1,6030,NA
A1N3ARFGIX5CL3,English,all advances,seafoam,tan,grey,Every player hit all of his shots,none-none-half,none-none-half,none,yes,none,15,1,4435,NA
A1N3ARFGIX5CL3,English,all advances,royalblue,lavender,lightorange,Most of the players will advance,none-none-half,none-half-none,none,yes,none,14,1,3197,NA
A1N3ARFGIX5CL3,English,all advances,brown,lavender,royalblue,Exactly one player hit all of his shots,none-half-all,half-all-none,B,yes,B,17,7,5355,NA
A1N3ARFGIX5CL3,English,all advances,brown,pink,tan,Three players will advance,none-none-half,none-none-half,none,yes,none,16,1,3073,NA
A1N3ARFGIX5CL3,English,all advances,seafoam,yellow,lightblue,Player C made shots,none-half-all,none-all-half,B,yes,B,19,7,6485,NA
A1N3ARFGIX5CL3,English,all advances,wheat,seafoam,lightblue,Two players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,18,1,6619,NA
A1N3ARFGIX5CL3,English,all advances,midnight,lavender,grey,Player A was the star player of the round,most-none-all,most-none-all,C,yes,C,-1,1,10529,yes
A1N3ARFGIX5CL3,English,all advances,tan,darkorange,pink,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,16589,yes
A1N3ARFGIX5CL3,English,all advances,royalblue,midnight,lavender,Player B will advance to the next round,all-few-none,all-few-none,A,yes,A,-2,1,7858,yes
A2A1Y2EKAI03T5,english,any advances,darkorange,lightblue,purple,All of the players will advance,none-half-half,half-half-none,A-B,yes,A-B,24,3,5292,NA
A2A1Y2EKAI03T5,english,any advances,seafoam,lavender,purple,Player A will advance,half-all-all,half-all-all,A-B-C,yes,A-B-C,25,4,6218,NA
A2A1Y2EKAI03T5,english,any advances,tan,darkorange,royalblue,No player hit all of his shots,none-none-all,none-none-all,C,yes,C,26,4,5733,NA
A2A1Y2EKAI03T5,english,any advances,brown,darkorange,grey,Every player hit some of his shots,half-half-all,half-all-half,A-B-C,yes,A-B-C,27,4,7640,NA
A2A1Y2EKAI03T5,english,any advances,seafoam,pink,midnight,Player C made shots,half-half-all,half-half-all,A-B-C,yes,A-B-C,20,5,10099,NA
A2A1Y2EKAI03T5,english,any advances,purple,midnight,darkorange,Player A will be pleased,none-none-none,none-none-none,none,yes,none,21,1,3605,NA
A2A1Y2EKAI03T5,english,any advances,midnight,royalblue,pink,Every player hit all of his shots,half-all-all,half-all-all,A-B-C,yes,A-B-C,22,1,8522,NA
A2A1Y2EKAI03T5,english,any advances,brown,lavender,yellow,No player hit none of his shots,none-all-all,all-none-all,A-C,yes,A-C,23,1,9820,NA
A2A1Y2EKAI03T5,english,any advances,lightblue,purple,midnight,Three players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,28,7,7653,NA
A2A1Y2EKAI03T5,english,any advances,pink,yellow,purple,Exactly one player hit some of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,1,3,11158,NA
A2A1Y2EKAI03T5,english,any advances,lightorange,royalblue,darkorange,None of the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,0,2,13488,NA
A2A1Y2EKAI03T5,english,any advances,wheat,lavender,lightblue,Player A made shots,none-half-all,all-none-half,A-C,yes,A-C,3,7,11342,NA
A2A1Y2EKAI03T5,english,any advances,lightorange,wheat,darkorange,No player hit some of his shots,none-half-all,half-none-all,A-C,yes,A-C,2,1,10814,NA
A2A1Y2EKAI03T5,english,any advances,grey,midnight,purple,Two players will advance,none-none-half,none-none-half,C,yes,C,5,1,8167,NA
A2A1Y2EKAI03T5,english,any advances,yellow,grey,lightorange,All the players will advance,none-all-all,none-all-all,B-C,yes,B-C,4,1,7902,NA
A2A1Y2EKAI03T5,english,any advances,seafoam,tan,brown,Player B will advance,none-half-all,none-half-all,B-C,yes,B-C,7,1,6512,NA
A2A1Y2EKAI03T5,english,any advances,grey,lavender,royalblue,Player B will be pleased,none-none-half,half-none-none,A,yes,A,6,1,6052,NA
A2A1Y2EKAI03T5,english,any advances,royalblue,seafoam,pink,Player A will be disappointed,none-none-half,none-none-half,C,yes,C,9,1,11429,NA
