Sentence,Condition,LiteralListener,RSAListener,UncertaintyListener,HumanMean,HumanLowerCI,HumanUpperCI
every(player)(made(some(shot))),SAA,0.25,0.38447908891773491,0.20724217672018272,5.9259259259259256,5.2716805953120991,6.5801712565397521
every(player)(made(some(shot))),AAA,0.25,0.12827478237513973,0.25355105038031039,4.6944444444444446,3.9386271822499097,5.4502617066389796
exactly_one(player)(made(every(shot))),NNN,0.0,0.0,0.0,1.0,nan,nan
exactly_one(player)(made(every(shot))),NNS,0.0,0.0,0.0,1.1515151515151516,0.90275070989181272,1.4002795931384904
exactly_one(player)(made(every(shot))),NNA,0.33333333333333331,0.3077162071007602,0.37031176221210799,6.884615384615385,6.7137309172125113,7.0554998520182588
exactly_one(player)(made(every(shot))),NSS,0.0,0.0,0.0,1.4230769230769231,0.82847170466447639,2.0176821414893698
exactly_one(player)(made(every(shot))),NSA,0.33333333333333331,0.38456758579847944,0.29366969543677818,6.7368421052631575,6.3856991949465618,7.0879850155797532
exactly_one(player)(made(every(shot))),NAA,0.0,0.0,0.0,1.3448275862068966,0.90625630830317139,1.7833988641106218
exactly_one(player)(made(every(shot))),SSS,0.0,0.0,0.0,1.1219512195121952,0.92238300869263756,1.3215194303317528
exactly_one(player)(made(every(shot))),SSA,0.33333333333333331,0.3077162071007602,0.33601854235111378,6.7692307692307692,6.3031822217683864,7.2352793166931519
exactly_one(player)(made(every(shot))),SAA,0.0,0.0,0.0,1.04,0.95911202629035541,1.1208879737096447
exactly_one(player)(made(every(shot))),AAA,0.0,0.0,0.0,1.5151515151515151,0.9833017769987431,2.0470012533042872
exactly_one(player)(made(no(shot))),NNN,0.0,0.0,0.0,1.5714285714285714,0.76971211077018731,2.3731450320869554
exactly_one(player)(made(no(shot))),NNS,0.0,0.0,0.0,1.5,0.85498266427245551,2.1450173357275446
exactly_one(player)(made(no(shot))),NNA,0.0,0.0,0.0,1.0588235294117647,0.97672553059685829,1.1409215282266711
exactly_one(player)(made(no(shot))),NSS,0.33333333333333331,0.27596764244746874,0.29224761023908508,6.2307692307692308,5.6323153843436158,6.8292230771948459
exactly_one(player)(made(no(shot))),NSA,0.33333333333333331,0.24150651672732978,0.22104425897308086,6.7142857142857144,6.3604142293416688,7.06815719922976
exactly_one(player)(made(no(shot))),NAA,0.33333333333333331,0.48252584082520156,0.48670813078783409,6.5,5.9667564455691808,7.0332435544308192
exactly_one(player)(made(no(shot))),SSS,0.0,0.0,0.0,1.0384615384615385,0.96078678055114142,1.1161362963719357
exactly_one(player)(made(no(shot))),SSA,0.0,0.0,0.0,1.3571428571428572,0.84718500596231439,1.8671007083234001
exactly_one(player)(made(no(shot))),SAA,0.0,0.0,0.0,1.1470588235294117,0.90573224826633858,1.3883853987924848
exactly_one(player)(made(no(shot))),AAA,0.0,0.0,0.0,1.1851851851851851,0.81164723341993927,1.5587231369504311
exactly_one(player)(made(some(shot))),NNN,0.0,0.0,0.0,1.0,nan,nan
exactly_one(player)(made(some(shot))),NNS,0.5,0.5262934109125279,0.31422087478659255,5.7999999999999998,4.865986132090665,6.7340138679093346
exactly_one(player)(made(some(shot))),NNA,0.5,0.47370658908747215,0.27920563430969964,4.333333333333333,3.5077012999714978,5.1589653666951687
exactly_one(player)(made(some(shot))),NSS,0.0,0.0,0.0,1.1515151515151516,0.90275070989181272,1.4002795931384904
exactly_one(player)(made(some(shot))),NSA,0.0,0.0,0.1692538594254995,3.46875,2.5277844764016635,4.4097155235983365
exactly_one(player)(made(some(shot))),NAA,0.0,0.0,0.0,1.5,1.0013478283472346,1.9986521716527654
exactly_one(player)(made(some(shot))),SSS,0.0,0.0,0.0,1.411764705882353,0.91027762968925818,1.9132517820754478
exactly_one(player)(made(some(shot))),SSA,0.0,0.0,0.092314636120274435,1.9736842105263157,1.2888200567750872,2.6585483642775443
exactly_one(player)(made(some(shot))),SAA,0.0,0.0,0.14500499535793385,4.0,2.8193837355226314,5.1806162644773686
exactly_one(player)(made(some(shot))),AAA,0.0,0.0,0.0,1.0909090909090908,0.9634476938098141,1.2183704880083674
no(player)(made(every(shot))),NNN,0.25,0.092163723217088739,0.12028943092514639,6.4444444444444446,5.883667209228352,7.0052216796605373
