workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A1RXG8RE0SJ4LC,English,any advances,royalblue,seafoam,lightblue,Player A will be pleased,none-none-none,none-none-none,none,yes,none,23,1,3191,NA
A1RXG8RE0SJ4LC,English,any advances,brown,royalblue,lavender,Every player hit all of his shots,none-all-all,none-all-all,B-C,yes,B-C,28,1,4342,NA
A1RXG8RE0SJ4LC,English,any advances,wheat,brown,lightorange,At least one player will advance,none-half-half,half-none-half,A-C,yes,A-C,1,6,7566,NA
A1RXG8RE0SJ4LC,English,any advances,tan,grey,lavender,Player C will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,0,6,6675,NA
A1RXG8RE0SJ4LC,English,any advances,midnight,brown,seafoam,Player B will be disappointed,half-all-all,all-half-all,A-B-C,yes,A-B-C,3,2,10085,NA
A1RXG8RE0SJ4LC,English,any advances,brown,wheat,grey,One player will advance,none-none-none,none-none-none,none,yes,none,2,1,4318,NA
A1RXG8RE0SJ4LC,English,any advances,lightblue,midnight,wheat,All the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,5,7,5365,NA
A1RXG8RE0SJ4LC,English,any advances,darkorange,midnight,royalblue,Exactly one player hit some of his shots,none-none-half,none-none-half,C,yes,C,4,7,6407,NA
A1RXG8RE0SJ4LC,English,any advances,grey,lavender,lightorange,All of the players will advance,none-none-all,all-none-none,A,yes,A,7,1,6111,NA
A1RXG8RE0SJ4LC,English,any advances,midnight,royalblue,wheat,Player B made shots,none-half-all,all-none-half,A-C,yes,A-C,6,1,5839,NA
A1RXG8RE0SJ4LC,English,any advances,lightorange,grey,midnight,Three players will advance,none-none-none,none-none-none,none,yes,none,9,1,4214,NA
A1RXG8RE0SJ4LC,English,any advances,tan,royalblue,midnight,Exactly one player hit none of his shots,none-none-all,none-none-all,C,yes,C,8,1,5830,NA
A1RXG8RE0SJ4LC,English,any advances,seafoam,darkorange,grey,Player B will advance,half-half-all,half-all-half,A-B-C,yes,A-B-C,11,6,5759,NA
A1RXG8RE0SJ4LC,English,any advances,lightblue,purple,lightorange,Exactly one player hit all of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,10,1,7728,NA
A1RXG8RE0SJ4LC,English,any advances,pink,darkorange,brown,Every player hit none of his shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,13,1,8317,NA
A1RXG8RE0SJ4LC,English,any advances,wheat,grey,pink,Most of the players will advance,half-half-all,half-half-all,A-B-C,yes,A-B-C,12,4,7791,NA
A1RXG8RE0SJ4LC,English,any advances,darkorange,royalblue,lightorange,Player A made shots,none-none-all,none-all-none,B,yes,B,15,1,5326,NA
A1RXG8RE0SJ4LC,English,any advances,yellow,darkorange,purple,No player hit some of his shots,half-half-all,half-all-half,A-B-C,yes,A-B-C,14,1,6655,NA
A1RXG8RE0SJ4LC,English,any advances,royalblue,darkorange,purple,Player B will be pleased,none-half-all,all-none-half,A-C,yes,A-C,17,1,4694,NA
A1RXG8RE0SJ4LC,English,any advances,royalblue,lavender,pink,Every player hit some of his shots,none-none-half,none-half-none,B,yes,B,16,1,3999,NA
A1RXG8RE0SJ4LC,English,any advances,lightblue,lightorange,brown,Player C will be pleased,half-half-half,half-half-half,A-B-C,yes,A-B-C,19,6,5742,NA
A1RXG8RE0SJ4LC,English,any advances,tan,lavender,darkorange,No player hit none of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,18,6,5479,NA
A1RXG8RE0SJ4LC,English,any advances,grey,midnight,lightblue,Player A was the star player of the round,most-none-all,most-none-all,A-C,yes,A-C,-1,1,8513,yes
A1RXG8RE0SJ4LC,English,any advances,grey,royalblue,lavender,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,6,14015,yes
A1RXG8RE0SJ4LC,English,any advances,darkorange,seafoam,yellow,Player B will advance to the next round,all-few-none,all-few-none,A-B,yes,A-B,-2,6,14524,no
A3JJIP54HLSQL8,English,all advances,lightorange,midnight,purple,Player C will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,24,5,9151,NA
A3JJIP54HLSQL8,English,all advances,brown,lightorange,seafoam,Player A made shots,none-none-none,none-none-none,none,yes,none,25,1,4115,NA
A3JJIP54HLSQL8,English,all advances,brown,lightorange,tan,Player B will be disappointed,none-half-all,all-half-none,A,yes,A,26,6,6135,NA
A3JJIP54HLSQL8,English,all advances,purple,seafoam,tan,Exactly one player hit some of his shots,half-half-all,half-all-half,B,yes,B,27,2,7252,NA
A3JJIP54HLSQL8,English,all advances,lavender,brown,yellow,No player hit some of his shots,none-none-half,half-none-none,none,yes,none,20,3,6132,NA
A3JJIP54HLSQL8,English,all advances,pink,brown,darkorange,At least one player will advance,none-none-none,none-none-none,none,yes,none,21,1,4201,NA
